Jurisdiction,Year,Fuel,Unit,Quantity
VIC,2019,Coal,PJ,423.205
VIC,2019,Gas,PJ,256.517
VIC,2019,Oil,PJ,453.004
VIC,2019,Renewables,PJ,77.397
VIC,2019,Statistical Discrepancy,PJ,-2.414
VIC,2019,Total,PJ,1207.708
VIC,2020,Coal,PJ,427.708
VIC,2020,Gas,PJ,236.287
VIC,2020,Oil,PJ,384.921
VIC,2020,Renewables,PJ,89.349
VIC,2020,Statistical Discrepancy,PJ,-9.435
VIC,2020,Total,PJ,1128.83
VIC,2021,Coal,PJ,410.709
VIC,2021,Gas,PJ,237.504
VIC,2021,Oil,PJ,412.363
VIC,2021,Renewables,PJ,104.796
VIC,2021,Statistical Discrepancy,PJ,-17.241
VIC,2021,Total,PJ,1148.131
VIC,2022,Coal,PJ,398.198
VIC,2022,Gas,PJ,215.167
VIC,2022,Oil,PJ,465.61
VIC,2022,Renewables,PJ,111.765
VIC,2022,Statistical Discrepancy,PJ,-18.139
VIC,2022,Total,PJ,1172.601
WA,2008,Coal,PJ,132.946
WA,2008,Gas,PJ,474.676
WA,2008,Oil,PJ,294.343
WA,2008,Renewables,PJ,15.59
WA,2008,Statistical Discrepancy,PJ,-0.333
WA,2008,Total,PJ,917.222
WA,2009,Coal,PJ,125.583
WA,2009,Gas,PJ,474.864
WA,2009,Oil,PJ,289.95
WA,2009,Renewables,PJ,14.61
WA,2009,Statistical Discrepancy,PJ,0.741
WA,2009,Total,PJ,905.748
WA,2010,Coal,PJ,130.576
WA,2010,Gas,PJ,494.908
WA,2010,Oil,PJ,341.495
