Jurisdiction,Year,Industry,Unit,Quantity
NSW,2021,Manufacturing,PJ,239.779
NSW,2021,Mining,PJ,69.409
NSW,2021,Other,PJ,12.621
NSW,2021,Residential,PJ,145.955
NSW,2021,Transport,PJ,413.47
NSW,2021,Water and waste,PJ,3.682
NSW,2022,Agriculture,PJ,31.219
NSW,2022,Commercial and services,PJ,96.461
NSW,2022,Construction,PJ,11.7
NSW,2022,Electricity generation,PJ,346.736
NSW,2022,Manufacturing,PJ,230.794
NSW,2022,Mining,PJ,73.966
NSW,2022,Other,PJ,12.89
NSW,2022,Residential,PJ,144.177
NSW,2022,Transport,PJ,486.798
NSW,2022,Water and waste,PJ,4.449
NT,2000,Agriculture,PJ,1.4
NT,2000,Commercial and services,PJ,5.3
NT,2000,Construction,PJ,0.7
NT,2000,Electricity generation,PJ,15.6
NT,2000,Manufacturing,PJ,21.8
NT,2000,Mining,PJ,3.0
NT,2000,Other,PJ,0.9
NT,2000,Residential,PJ,2.3
NT,2000,Transport,PJ,21.9
NT,2000,Water and waste,PJ,0.2
NT,2001,Agriculture,PJ,1.5
NT,2001,Commercial and services,PJ,5.1
NT,2001,Construction,PJ,0.7
NT,2001,Electricity generation,PJ,15.8
NT,2001,Manufacturing,PJ,21.7
NT,2001,Mining,PJ,3.4
NT,2001,Other,PJ,0.7
NT,2001,Residential,PJ,2.3
NT,2001,Transport,PJ,22.0
NT,2001,Water and waste,PJ,0.2
NT,2002,Agriculture,PJ,1.266
NT,2002,Commercial and services,PJ,6.197
NT,2002,Construction,PJ,0.636
NT,2002,Electricity generation,PJ,4.787
NT,2002,Manufacturing,PJ,23.012
NT,2002,Mining,PJ,1.541
NT,2002,Other,PJ,0.8
NT,2002,Residential,PJ,2.789
NT,2002,Transport,PJ,15.516
NT,2002,Water and waste,PJ,0.24
NT,2003,Agriculture,PJ,1.383
NT,2003,Commercial and services,PJ,6.181
NT,2003,Construction,PJ,0.542
NT,2003,Electricity generation,PJ,6.034
NT,2003,Manufacturing,PJ,23.051
NT,2003,Mining,PJ,3.429
NT,2003,Other,PJ,0.5
NT,2003,Residential,PJ,2.724
NT,2003,Transport,PJ,14.551
NT,2003,Water and waste,PJ,0.26
NT,2004,Agriculture,PJ,1.371
NT,2004,Commercial and services,PJ,6.012
NT,2004,Construction,PJ,0.502
NT,2004,Electricity generation,PJ,7.037
NT,2004,Manufacturing,PJ,22.227
NT,2004,Mining,PJ,5.751
NT,2004,Other,PJ,0.5
NT,2004,Residential,PJ,2.464
NT,2004,Transport,PJ,15.419
NT,2004,Water and waste,PJ,0.252
NT,2005,Agriculture,PJ,1.127
NT,2005,Commercial and services,PJ,5.987
NT,2005,Construction,PJ,0.388
NT,2005,Electricity generation,PJ,6.252
NT,2005,Manufacturing,PJ,22.058
NT,2005,Mining,PJ,16.492
NT,2005,Other,PJ,0.635
NT,2005,Residential,PJ,2.673
NT,2005,Transport,PJ,17.191
NT,2005,Water and waste,PJ,0.195
NT,2006,Agriculture,PJ,1.097
NT,2006,Commercial and services,PJ,6.259
NT,2006,Construction,PJ,0.366
NT,2006,Electricity generation,PJ,5.811
NT,2006,Manufacturing,PJ,23.289
NT,2006,Mining,PJ,26.478
NT,2006,Other,PJ,0.605
NT,2006,Residential,PJ,2.838
NT,2006,Transport,PJ,15.833
NT,2006,Water and waste,PJ,0.213
NT,2007,Agriculture,PJ,1.1
NT,2007,Commercial and services,PJ,6.454
NT,2007,Construction,PJ,0.36
NT,2007,Electricity generation,PJ,16.193
NT,2007,Manufacturing,PJ,27.135
NT,2007,Mining,PJ,24.496
NT,2007,Other,PJ,0.779
NT,2007,Residential,PJ,2.995
NT,2007,Transport,PJ,16.273
NT,2007,Water and waste,PJ,0.211
NT,2008,Agriculture,PJ,1.261
NT,2008,Commercial and services,PJ,6.952
NT,2008,Construction,PJ,0.306
NT,2008,Electricity generation,PJ,21.276
NT,2008,Manufacturing,PJ,21.475
NT,2008,Mining,PJ,25.075
NT,2008,Other,PJ,0.66
NT,2008,Residential,PJ,3.185
NT,2008,Transport,PJ,14.828
NT,2008,Water and waste,PJ,0.026
NT,2009,Agriculture,PJ,1.263
NT,2009,Commercial and services,PJ,7.555
NT,2009,Construction,PJ,0.318
NT,2009,Electricity generation,PJ,23.834
NT,2009,Manufacturing,PJ,22.964
NT,2009,Mining,PJ,20.024
NT,2009,Other,PJ,0.448
NT,2009,Residential,PJ,3.312
NT,2009,Transport,PJ,14.284
NT,2009,Water and waste,PJ,0.172
NT,2010,Agriculture,PJ,1.26
NT,2010,Commercial and services,PJ,6.204
NT,2010,Construction,PJ,0.353
NT,2010,Electricity generation,PJ,22.368
NT,2010,Manufacturing,PJ,24.043
NT,2010,Mining,PJ,23.405
NT,2010,Other,PJ,0.561
NT,2010,Residential,PJ,2.686
NT,2010,Transport,PJ,18.81
NT,2010,Water and waste,PJ,0.097
NT,2011,Agriculture,PJ,1.263
NT,2011,Commercial and services,PJ,6.635
NT,2011,Construction,PJ,0.431
NT,2011,Electricity generation,PJ,22.927
NT,2011,Manufacturing,PJ,24.244
NT,2011,Mining,PJ,21.464
NT,2011,Other,PJ,0.416
NT,2011,Residential,PJ,2.308
NT,2011,Transport,PJ,18.447
NT,2011,Water and waste,PJ,0.059
NT,2012,Agriculture,PJ,1.28
NT,2012,Commercial and services,PJ,6.265
NT,2012,Construction,PJ,0.488
NT,2012,Electricity generation,PJ,22.138
NT,2012,Manufacturing,PJ,23.207
NT,2012,Mining,PJ,26.012
NT,2012,Other,PJ,0.456
NT,2012,Residential,PJ,2.077
NT,2012,Transport,PJ,18.23
NT,2012,Water and waste,PJ,0.002
NT,2013,Agriculture,PJ,1.172
NT,2013,Commercial and services,PJ,9.018
NT,2013,Construction,PJ,0.568
NT,2013,Electricity generation,PJ,22.893
NT,2013,Manufacturing,PJ,17.914
NT,2013,Mining,PJ,26.144
NT,2013,Other,PJ,0.338
NT,2013,Residential,PJ,2.24
NT,2013,Transport,PJ,18.573
NT,2013,Water and waste,PJ,0.282
NT,2014,Agriculture,PJ,1.21
NT,2014,Commercial and services,PJ,5.944
NT,2014,Construction,PJ,0.977
NT,2014,Electricity generation,PJ,24.184
NT,2014,Manufacturing,PJ,2.364
NT,2014,Mining,PJ,24.955
NT,2014,Other,PJ,0.294
NT,2014,Residential,PJ,2.956
NT,2014,Transport,PJ,21.06
NT,2014,Water and waste,PJ,0.043
NT,2015,Agriculture,PJ,1.251
NT,2015,Commercial and services,PJ,6.073
NT,2015,Construction,PJ,0.775
NT,2015,Electricity generation,PJ,23.363
NT,2015,Manufacturing,PJ,1.219
NT,2015,Mining,PJ,26.866
NT,2015,Other,PJ,0.284
NT,2015,Residential,PJ,3.14
NT,2015,Transport,PJ,20.846
NT,2015,Water and waste,PJ,0.102
NT,2016,Agriculture,PJ,1.67
NT,2016,Commercial and services,PJ,6.109
NT,2016,Construction,PJ,0.908
NT,2016,Electricity generation,PJ,24.48
NT,2016,Manufacturing,PJ,1.165
NT,2016,Mining,PJ,24.906
NT,2016,Other,PJ,0.233
NT,2016,Residential,PJ,3.222
NT,2016,Transport,PJ,20.518
NT,2016,Water and waste,PJ,0.109
NT,2017,Agriculture,PJ,1.674
NT,2017,Commercial and services,PJ,6.039
